id,key,value,type
30029498,ref,35,regular
30029498,exit_to,Strobridge Avenue,regular
30029498,highway,motorway_junction,regular
31830276,source,PGS,regular
31831307,source,PGS,regular
33154450,ref,26,regular
33154450,exit_to,Tennyson Road,regular
33154450,highway,motorway_junction,regular
35706284,created_by,JOSM,regular
35706445,created_by,JOSM,regular
35706574,barrier,gate,regular
35706574,created_by,JOSM,regular
51665387,created_by,JOSM,regular
53019140,highway,stop,regular
53021162,highway,turning_circle,regular
53027114,highway,turning_circle,regular
53030351,highway,stop,regular
53030665,highway,turning_circle,regular
53041222,highway,stop,regular
53046610,highway,stop,regular
53056482,highway,turning_circle,regular
53061162,highway,traffic_signals,regular
53062385,highway,turning_circle,regular
53074476,highway,turning_circle,regular
53074807,highway,turning_circle,regular
53078080,highway,traffic_signals,regular
53079621,highway,turning_circle,regular
53080190,highway,turning_circle,regular
53092580,highway,traffic_signals,regular
53100349,highway,turning_circle,regular
53104646,source,photograph,regular
53104646,highway,traffic_signals,regular
53105838,highway,turning_circle,regular
53110237,highway,turning_circle,regular
53113946,highway,stop,regular
53118543,highway,turning_circle,regular
53130273,highway,turning_circle,regular
53134364,highway,turning_circle,regular
53140604,highway,turning_circle,regular
53146181,highway,turning_circle,regular
53147607,highway,turning_circle,regular
53148887,highway,turning_circle,regular
53152493,highway,turning_circle,regular
53157781,highway,turning_circle,regular
56114269,created_by,JOSM,regular
57807064,highway,turning_circle,regular
57817257,highway,turning_circle,regular
57820785,highway,turning_circle,regular
57822005,highway,turning_circle,regular
57826456,highway,turning_circle,regular
57827533,highway,traffic_signals,regular
57830073,highway,turning_circle,regular
57857433,source,Yahoo,regular
57857433,highway,turning_circle,regular
57859935,highway,traffic_signals,regular
57866797,highway,turning_circle,regular
57883720,highway,turning_circle,regular
57910873,highway,turning_circle,regular
57917807,highway,turning_circle,regular
57938590,highway,turning_circle,regular
57953190,highway,turning_circle,regular
59772796,created_by,JOSM,regular
65279895,highway,stop,regular
65281061,ref,2,regular
65281061,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/80.pdf,regular
65281061,exit_to,4th Street; Embarcadero,regular
65281061,highway,motorway_junction,regular
65282474,highway,traffic_signals,regular
65282474,traffic_signals,signal,regular
65287360,highway,traffic_signals,regular
65295907,highway,traffic_signals,regular
65295907,sound,yes,traffic_signals
65299375,highway,turning_circle,regular
65302590,highway,turning_circle,regular
65303556,highway,traffic_signals,regular
65303556,turn_restrictions,no,regular
65315796,crossing,traffic_signals,regular
65315796,highway,crossing,regular
65321839,turn_restrictions,no,regular
65327144,turn_restrictions,no,regular
65327650,highway,traffic_signals,regular
65329084,highway,traffic_signals,regular
65330704,highway,turning_circle,regular
65334190,highway,traffic_signals,regular
65343053,highway,traffic_signals,regular
65344762,source,Yahoo,regular
65344762,highway,traffic_signals,regular
65345282,highway,traffic_signals,regular
65345282,turn_restrictions,no,regular
65369644,highway,stop,regular
65388795,highway,turning_circle,regular
65390484,highway,turning_circle,regular
65391865,source,photograph,regular
65391865,highway,traffic_signals,regular
65393025,highway,turning_circle,regular
65396263,highway,turning_circle,regular
65398742,highway,turning_circle,regular
65407446,highway,stop,regular
65415493,highway,stop,regular
65422773,highway,traffic_signals,regular
65448911,highway,crossing,regular
65460110,highway,traffic_signals,regular
65468803,highway,turning_circle,regular
65480065,noexit,yes,regular
65484066,highway,turning_circle,regular
65491747,highway,traffic_signals,regular
65496217,highway,turning_circle,regular
65500407,highway,turning_circle,regular
65506344,highway,turning_circle,regular
80536363,created_by,JOSM,regular
84926443,created_by,JOSM,regular
84926974,created_by,JOSM,regular
84927564,created_by,JOSM,regular
84940856,barrier,cattle_grid,regular
87340043,created_by,JOSM,regular
87342951,created_by,JOSM,regular
87345038,created_by,JOSM,regular
87376381,created_by,JOSM,regular
92004297,created_by,JOSM,regular
92024701,created_by,JOSM,regular
92799134,created_by,JOSM,regular
92818713,created_by,JOSM,regular
92841961,created_by,JOSM,regular
98443356,created_by,JOSM,regular
98447545,created_by,JOSM,regular
124790994,created_by,JOSM,regular
127027197,created_by,JOSM,regular
127028179,created_by,JOSM,regular
127029096,created_by,JOSM,regular
127030155,created_by,JOSM,regular
128894657,created_by,JOSM,regular
150956037,ele,4,regular
150956037,name,Belle Haven,regular
150956037,is_in,"San Mateo,California,Calif.,CA,USA",regular
150956037,place,hamlet,regular
150956037,id,253359,gnis
150956037,gnis:Class,Populated Place,regular
150956037,gnis:County,San Mateo,regular
150956037,gnis:ST_num,06,regular
150956037,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
150956037,gnis:ST_alpha,CA,regular
150956037,gnis:County_num,081,regular
162930593,created_by,JOSM,regular
162950692,created_by,JOSM,regular
162976783,created_by,JOSM,regular
162990035,created_by,JOSM,regular
167039540,created_by,JOSM,regular
167051541,created_by,JOSM,regular
167068777,created_by,JOSM,regular
