id,node_id,position
5072896,34351369,0
5072896,34351379,1
5072896,34351312,2
6319364,52982925,0
6319364,52982926,1
6319364,3681660963,2
6319364,2147664745,3
6319364,52982928,4
6319364,2147664678,5
6319364,2147664665,6
6319364,2147664647,7
6319364,2147664633,8
6319364,2147664618,9
6319364,2147664600,10
6319364,52982930,11
6319364,2147664587,12
6319364,2147664583,13
6319364,2147664579,14
6319364,2147664577,15
6319364,52982932,16
6319364,2147664578,17
6322401,52996081,0
6322401,254906893,1
6322401,664109156,2
6322401,254906895,3
6322401,52996059,4
6322401,2453599676,5
6322401,4708528868,6
6322401,52996060,7
6324743,3957275131,0
6324743,311676024,1
6324743,53006530,2
6324743,53006529,3
6324743,3957275126,4
6324743,2427025882,5
6324743,3957275127,6
6324743,3957275128,7
6324743,3957275130,8
6324743,3957275132,9
6324743,3957275134,10
6326843,341668907,0
6326843,721644476,1
6326843,721634411,2
6326843,721634433,3
6326843,721634446,4
6326843,721634458,5
6326843,721634464,6
6326843,721634471,7
6326843,721634482,8
6326843,721634491,9
6326843,721634504,10
6326843,721634514,11
6326843,721634520,12
6326843,721634529,13
6326843,721634536,14
6326843,721634539,15
6326843,721634542,16
6326843,53016611,17
6326843,32816469,18
6327322,53018493,0
6327322,53018494,1
6327322,53018496,2
6327322,53018498,3
6327840,53020818,0
6327840,311726353,1
6327840,53020819,2
6327840,311726354,3
6327840,311726355,4
6327840,311726356,5
6327840,53020820,6
6327840,53020821,7
6327840,53020822,8
6327840,53020823,9
6327840,53020824,10
6327840,3682618144,11
6327840,53020825,12
6327840,53020817,13
6328316,53022564,0
6328316,53022566,1
6328316,603313908,2
6328864,53024952,0
6328864,52989338,1
6328864,53024954,2
6329541,53027290,0
6329541,349715277,1
6329541,1905607388,2
6329541,349715278,3
6329541,53027292,4
6329541,53027294,5
6329541,53027296,6
6329541,53027298,7
6329541,53027299,8
6329541,1666449356,9
6329541,1666449420,10
6330035,211769560,0
6330035,4161880344,1
6330035,1985991309,2
6330035,53028857,3
6330546,53030816,0
6330546,260547786,1
6330546,260547787,2
6330546,260547788,3
6330546,260547789,4
6330546,260547790,5
6330546,260547791,6
6330546,260547792,7
6330546,260547793,8
6330546,260547794,9
6330546,260547795,10
6330546,260547796,11
6330546,53030817,12
6331156,53033424,0
6331156,53033425,1
6331156,343854797,2
6331156,53024314,3
6331739,53035442,0
6331739,53035443,1
6332386,2389111344,0
6332386,4306824083,1
6332386,4306824361,2
6332386,2389111364,3
6332923,53038920,0
6332923,53038922,1
