id,key,value,type
5072896,bicycle,no,regular
5072896,highway,path,regular
6319364,highway,residential,regular
6319364,cfcc,A41,tiger
6319364,county,"Alameda, CA",tiger
6319364,reviewed,no,tiger
6322401,highway,unclassified,regular
6322401,name,Wetmore Road,regular
6322401,cfcc,A41,tiger
6322401,county,"Alameda, CA",tiger
6324743,lanes,1,regular
6324743,oneway,yes,regular
6324743,highway,motorway_link,regular
6324743,cfcc,A63,tiger
6324743,lanes,through,turn
6324743,county,"Alameda, CA",tiger
6324743,reviewed,no,tiger
6326843,lane,1,regular
6326843,oneway,yes,regular
6326843,bicycle,no,regular
6326843,highway,motorway_link,regular
6326843,cfcc,A63,tiger
6326843,lanes,through,turn
6326843,county,"Alameda, CA",tiger
6326843,reviewed,no,tiger
6327322,highway,residential,regular
6327322,name,Mira Loma Street,regular
6327322,cfcc,A41,tiger
6327322,county,"Alameda, CA",tiger
6327322,name_base,Mira Loma,tiger
6327322,name_type,St,tiger
6327322,reviewed,no,tiger
6327840,name,Parrott Street,regular
6327840,highway,residential,regular
6327840,cfcc,A41,tiger
6327840,county,"Alameda, CA",tiger
6327840,reviewed,no,tiger
6327840,name_base,Parrott,tiger
6327840,name_type,St,tiger
6328316,access,private,regular
6328316,highway,residential,regular
6328316,name,Damon Court,regular
6328316,cfcc,A41,tiger
6328316,county,"Alameda, CA",tiger
6328316,name_base,Damon,tiger
6328316,name_type,Ct,tiger
6328316,reviewed,no,tiger
6328864,name,Medlar Drive,regular
6328864,highway,residential,regular
6328864,cfcc,A41,tiger
6328864,tlid,125022110:125022115,tiger
6328864,county,"Alameda, CA",tiger
6328864,source,tiger_import_dch_v0.6_20070809,tiger
6328864,reviewed,no,tiger
6328864,name_base,Medlar,tiger
6328864,name_type,Dr,tiger
6328864,separated,no,tiger
6329541,highway,residential,regular
6329541,name,Granville Drive,regular
6329541,cfcc,A41,tiger
6329541,county,"Alameda, CA",tiger
6329541,name_base,Granville,tiger
6329541,name_type,Dr,tiger
6330035,bicycle,yes,regular
6330035,cycleway,no,regular
6330035,foot,yes,regular
6330035,highway,residential,regular
6330035,lanes,1,regular
6330035,name,Peralta Oaks Court,regular
6330035,oneway,no,regular
6330035,sidewalk,none,regular
6330035,cfcc,A41,tiger
6330035,county,"Alameda, CA",tiger
6330035,name_base,Peralta Oaks,tiger
6330035,name_type,Ct,tiger
6330035,reviewed,no,tiger
6330546,highway,residential,regular
6330546,name,Klamath Street,regular
6330546,cfcc,A41,tiger
6330546,county,"Alameda, CA",tiger
6330546,name_base,Klamath,tiger
6330546,name_type,St,tiger
6330546,reviewed,no,tiger
6331156,highway,residential,regular
6331156,name,Xanadu Terrace,regular
6331156,cfcc,A41,tiger
6331156,county,"Alameda, CA",tiger
6331156,name_base,Xanadu,tiger
6331156,name_type,Ter,tiger
6331156,reviewed,no,tiger
6331739,highway,residential,regular
6331739,name,Abbey Street,regular
6331739,cfcc,A41,tiger
6331739,county,"Alameda, CA",tiger
6331739,name_base,Abbey,tiger
6331739,name_type,St,tiger
6331739,reviewed,no,tiger
6332386,highway,residential,regular
6332386,name,15th Street,regular
6332386,sidewalk,both,regular
6332386,cfcc,A41,tiger
6332386,county,"Alameda, CA",tiger
6332386,name_base,15th,tiger
6332386,name_type,St,tiger
6332386,reviewed,no,tiger
6332923,highway,residential,regular
6332923,name,Lily Street,regular
6332923,cfcc,A41,tiger
6332923,county,"Alameda, CA",tiger
6332923,name_base,Lily,tiger
6332923,name_type,St,tiger
6332923,reviewed,no,tiger
6333487,highway,residential,regular
6333487,name,Teakwood Street,regular
6333487,cfcc,A41,tiger
6333487,county,"Alameda, CA",tiger
6333487,name_base,Teakwood,tiger
6333487,name_type,St,tiger
6333487,reviewed,no,tiger
6334021,highway,residential,regular
6334021,name,Edith Way,regular
6334021,sidewalk,both,regular
6334021,cfcc,A41,tiger
6334021,county,"Alameda, CA",tiger
6334021,name_base,Edith,tiger
6334021,name_type,Way,tiger
6334021,reviewed,position,tiger
6334498,access,no,regular
6334498,highway,residential,regular
6334498,name,9th Avenue,regular
6334498,cfcc,A41,tiger
6334498,county,"Alameda, CA",tiger
6334498,name_base,9th,tiger
6334498,name_type,Ave,tiger
6334498,reviewed,no,tiger
6335045,name,Viewcrest Drive,regular
6335045,highway,residential,regular
6335045,created_by,Potlatch 0.8c,regular
6335045,cfcc,A41,tiger
6335045,tlid,125051873,tiger
6335045,county,"Alameda, CA",tiger
6335045,source,tiger_import_dch_v0.6_20070809,tiger
6335045,reviewed,no,tiger
6335045,name_base,Viewcrest,tiger
6335045,name_type,Dr,tiger
6335045,separated,no,tiger
6335564,highway,residential,regular
6335564,name,Red Lake Terrace,regular
6335564,cfcc,A41,tiger
6335564,county,"Alameda, CA",tiger
6335564,name_base,Red Lake,tiger
6335564,name_type,Ter,tiger
6335564,reviewed,no,tiger
6335954,highway,residential,regular
6335954,name,Everett Street,regular
6335954,cfcc,A41,tiger
6335954,county,"Alameda, CA",tiger
6335954,name_base,Everett,tiger
6335954,name_type,St,tiger
6335954,reviewed,no,tiger
6336527,highway,residential,regular
6336527,name,Forest Place,regular
6336527,cfcc,A41,tiger
6336527,county,"Alameda, CA",tiger
6336527,name_base,Forest,tiger
6336527,name_type,Pl,tiger
6336527,reviewed,no,tiger
6337038,name,South Dike Road,regular
6337038,FIXME,West something Point Drive?,regular
6337038,highway,residential,regular
6337038,maxspeed,25 mph,regular
6338015,highway,residential,regular
6338015,name,Lagunitas Avenue,regular
6338015,sidewalk,both,regular
6338015,cfcc,A41,tiger
6338015,county,"Alameda, CA",tiger
6338015,name_base,Lagunitas,tiger
6338015,name_type,Ave,tiger
6338015,reviewed,no,tiger
6338539,highway,residential,regular
6338539,name,Hemet Common,regular
6338539,cfcc,A41,tiger
6338539,county,"Alameda, CA",tiger
6338539,name_base,Hemet Cmn,tiger
6338539,reviewed,no,tiger
6339065,foot,yes,regular
6339065,highway,residential,regular
6339065,lanes,1,regular
6339065,maxspeed,25 mph,regular
6339065,name,San Juan Avenue,regular
6339065,sidewalk,both,regular
6339065,surface,paved,regular
6339065,cfcc,A41,tiger
6339065,county,"Alameda, CA",tiger
6339065,name_base,San Juan,tiger
6339065,name_type,Ave,tiger
6339065,reviewed,no,tiger
6339717,highway,residential,regular
6339717,name,Castleford Court,regular
6339717,cfcc,A41,tiger
6339717,county,"Alameda, CA",tiger
6339717,name_base,Castleford,tiger
6339717,name_type,Ct,tiger
6339717,reviewed,no,tiger
6340370,name,Cleveland Cascade,regular
6340370,highway,steps,regular
6340370,website,http://clevelandcascade.org/,regular
6340370,name_base,Cleveland Cascade,tiger
6340930,highway,residential,regular
6340930,name,Myrtle Street,regular
6340930,sidewalk,both,regular
6340930,cfcc,A41,tiger
6340930,county,"Alameda, CA",tiger
6340930,name_base,Myrtle,tiger
6340930,name_type,St,tiger
6341569,highway,residential,regular
6341569,name,Boxstead Common,regular
6341569,cfcc,A41,tiger
6341569,county,"Alameda, CA",tiger
6341569,name_base,Boxstead Cmn,tiger
6341569,reviewed,no,tiger
6342071,highway,residential,regular
6342071,name,Lauriston Court,regular
6342071,cfcc,A41,tiger
6342071,county,"Alameda, CA",tiger
6342071,name_base,Lauriston,tiger
6342071,name_type,Ct,tiger
6342684,highway,residential,regular
6342684,name,Fulton Avenue,regular
6342684,cfcc,A41,tiger
6342684,county,"Alameda, CA",tiger
6342684,name_base,Fulton,tiger
6342684,name_type,Ave,tiger
6342684,reviewed,no,tiger
6343690,highway,unclassified,regular
6343690,name,West Seaplane Lagoon,regular
6343690,name_1,Avenue H,regular
6343690,cfcc,A41,tiger
6343690,county,"Alameda, CA",tiger
6343690,name_base,Seaplane Lagoon,tiger
6343690,name_base_1,Avenue H,tiger
6343690,name_direction_prefix,W,tiger
6343690,reviewed,no,tiger
6344500,highway,residential,regular
6344500,name,Butler Avenue,regular
6344500,cfcc,A41,tiger
6344500,county,"Alameda, CA",tiger
6344500,name_base,Butler,tiger
6344500,name_type,Ave,tiger
6344500,reviewed,no,tiger
6344952,name,Larchmont Isle,regular
6344952,highway,residential,regular
6344952,cfcc,A41,tiger
6344952,tlid,124997876,tiger
