id,key,value,type
92655688,highway,motorway_junction,regular
92655688,ref,222,regular
92655857,highway,stop,regular
92655883,highway,motorway_junction,regular
92655883,ref,221,regular
92656952,highway,motorway_junction,regular
92656952,noref,yes,regular
92657747,highway,motorway_junction,regular
92657747,ref,222,regular
92657978,highway,motorway_junction,regular
92657978,ref,223,regular
92658163,highway,motorway_junction,regular
92658163,ref,220,regular
92659441,railway,level_crossing,regular
92663387,railway,level_crossing,regular
92672352,railway,level_crossing,regular
92686567,railway,level_crossing,regular
92687725,highway,stop,regular
92687725,stop,all,regular
92699960,highway,turning_circle,regular
92704729,highway,turning_circle,regular
92716461,railway,level_crossing,regular
92720689,railway,level_crossing,regular
92722566,highway,turning_circle,regular
92723111,highway,turning_circle,regular
92724230,railway,level_crossing,regular
92726529,highway,motorway_junction,regular
92726529,ref,35,regular
92734518,railway,level_crossing,regular
92736107,railway,level_crossing,regular
92736142,railway,level_crossing,regular
92736224,railway,level_crossing,regular
92736250,railway,level_crossing,regular
92736277,railway,level_crossing,regular
92736280,railway,level_crossing,regular
92737991,highway,turning_circle,regular
92747409,railway,level_crossing,regular
150964479,ele,25,regular
150964479,gnis:Class,Populated Place,regular
150964479,gnis:County,Stanislaus,regular
150964479,gnis:County_num,099,regular
150964479,id,1656059,gnis
150964479,gnis:ST_alpha,CA,regular
150964479,gnis:ST_num,06,regular
150964479,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
150964479,is_in,"Stanislaus,California,Calif.,CA,USA",regular
150964479,name,Harp,regular
150964479,place,hamlet,regular
150976701,ele,28,regular
150976701,gnis:Class,Populated Place,regular
150976701,gnis:County,Stanislaus,regular
150976701,gnis:County_num,099,regular
150976701,id,1655882,gnis
150976701,gnis:ST_alpha,CA,regular
150976701,gnis:ST_num,06,regular
150976701,name,Ceres,regular
150976701,place,town,regular
150976701,population,45417,regular
150976701,wikipedia,"en:Ceres, California",regular
358762404,ele,27,regular
358762404,county_id,099,gnis
358762404,created,01/19/1981,gnis
358762404,feature_id,219800,gnis
358762404,state_id,06,gnis
358762404,leisure,park,regular
358762404,name,Bret Harte Park,regular
358762408,amenity,school,regular
358762408,ele,26,regular
358762408,county_id,099,gnis
358762408,created,06/14/2000,gnis
358762408,feature_id,219801,gnis
358762408,state_id,06,gnis
358762408,name,Bret Harte Elementary School,regular
358763238,amenity,school,regular
358763238,ele,28,regular
358763238,county_id,099,gnis
358763238,created,06/14/2000,gnis
358763238,feature_id,220716,gnis
358763238,state_id,06,gnis
358763238,name,Caswell Elementary School,regular
358763386,ele,32,regular
358763386,county_id,099,gnis
358763386,created,01/19/1981,gnis
358763386,feature_id,220859,gnis
358763386,state_id,06,gnis
358763386,leisure,park,regular
358763386,name,Ceres-Whitmore Park,regular
358764827,amenity,school,regular
358764827,ele,27,regular
358764827,county_id,099,gnis
358764827,created,06/14/2000,gnis
