id,key,value,type
10598597,highway,residential,regular
10598597,name,Crescent Moon Court,regular
10598597,cfcc,A41,tiger
10598597,county,"Stanislaus, CA",tiger
10598597,name_base,Crescent Moon,tiger
10598597,name_type,Ct,tiger
10598597,reviewed,no,tiger
10598615,highway,residential,regular
10598615,name,Astoria Court,regular
10598615,cfcc,A41,tiger
10598615,county,"Stanislaus, CA",tiger
10598615,name_base,Astoria,tiger
10598615,name_type,Ct,tiger
10598615,reviewed,no,tiger
10598646,bicycle,no,regular
10598646,highway,motorway_link,regular
10598646,oneway,yes,regular
10598646,cfcc,A63,tiger
10598646,county,"Stanislaus, CA",tiger
10598646,reviewed,no,tiger
10598649,bicycle,no,regular
10598649,destination,Whitmore Avenue,regular
10598649,highway,motorway_link,regular
10598649,oneway,yes,regular
10598649,cfcc,A63,tiger
10598649,county,"Stanislaus, CA",tiger
10598649,reviewed,no,tiger
10598664,bicycle,no,regular
10598664,destination,Fourth Street;Ceres,regular
10598664,highway,motorway_link,regular
10598664,oneway,yes,regular
10598664,cfcc,A63,tiger
10598664,county,"Stanislaus, CA",tiger
10598798,bicycle,no,regular
10598798,destination,Hatch Road,regular
10598798,highway,motorway_link,regular
10598798,oneway,yes,regular
10598798,cfcc,A63,tiger
10598798,county,"Stanislaus, CA",tiger
10598798,reviewed,no,tiger
10598899,bicycle,no,regular
10598899,street,East Hatch Road,destination
10598899,highway,motorway_link,regular
10598899,oneway,yes,regular
10598899,cfcc,A63,tiger
10598899,county,"Stanislaus, CA",tiger
10598899,reviewed,no,tiger
10598903,bicycle,no,regular
10598903,highway,motorway_link,regular
10598903,oneway,yes,regular
10598903,cfcc,A63,tiger
10598903,county,"Stanislaus, CA",tiger
10598903,reviewed,no,tiger
10598918,access,private,regular
10598918,highway,service,regular
10598918,cfcc,A74,tiger
10598918,county,"Stanislaus, CA",tiger
10598918,reviewed,no,tiger
10598918,source,tiger_import_dch_v0.6_20070809,tiger
10598918,tlid,102641956,tiger
10598918,upload_uuid,bulk_upload.pl-25b768ae-0d11-4367-8a41-48e7b63fa9d2,tiger
10598923,bicycle,no,regular
10598923,destination,Hatch Road,regular
10598923,highway,motorway_link,regular
10598923,oneway,yes,regular
10598923,cfcc,A63,tiger
10598923,county,"Stanislaus, CA",tiger
10599025,highway,residential,regular
10599025,name,Valley Brook Drive,regular
10599025,cfcc,A41,tiger
10599025,county,"Stanislaus, CA",tiger
10599025,name_base,Valley Brook,tiger
10599025,name_type,Dr,tiger
10599025,reviewed,no,tiger
10599049,highway,residential,regular
10599049,name,Blue Ridge Lane,regular
10599049,cfcc,A41,tiger
10599049,county,"Stanislaus, CA",tiger
10599049,name_base,Blue Ridge,tiger
10599049,name_type,Ln,tiger
10599049,reviewed,no,tiger
10599049,separated,no,tiger
10599049,source,tiger_import_dch_v0.6_20070809,tiger
10599049,tlid,102610980,tiger
10599059,highway,residential,regular
10599059,name,Stone Leaf Court,regular
10599059,cfcc,A41,tiger
10599059,county,"Stanislaus, CA",tiger
10599059,name_base,Stone Leaf,tiger
10599059,name_type,Ct,tiger
10599059,reviewed,no,tiger
10599073,highway,residential,regular
10599073,name,Moonlight Drive,regular
10599073,cfcc,A41,tiger
10599073,county,"Stanislaus, CA",tiger
10599073,name_base,Moonlight,tiger
10599073,name_type,Dr,tiger
10599073,reviewed,no,tiger
10599188,highway,residential,regular
10599188,name,Garrison Street,regular
10599188,cfcc,A41,tiger
10599188,county,"Stanislaus, CA",tiger
10599188,name_base,Garrison,tiger
10599188,name_type,St,tiger
10599188,reviewed,no,tiger
10599212,highway,residential,regular
10599212,name,Gaza Avenue,regular
10599212,cfcc,A41,tiger
10599212,county,"Stanislaus, CA",tiger
10599212,name_base,Gaza,tiger
10599212,name_type,Ave,tiger
10599212,reviewed,no,tiger
10599281,highway,residential,regular
10599281,name,San Pedro Avenue,regular
10599281,cfcc,A41,tiger
10599281,county,"Stanislaus, CA",tiger
10599281,name_base,San Pedro,tiger
10599281,name_type,Ave,tiger
10599281,reviewed,no,tiger
10599281,separated,no,tiger
10599281,source,tiger_import_dch_v0.6_20070809,tiger
10599281,tlid,102611600:102611604:102611597:102611598,tiger
10599285,highway,residential,regular
10599285,name,San Pedro Avenue,regular
10599285,cfcc,A41,tiger
10599285,county,"Stanislaus, CA",tiger
10599285,name_base,San Pedro,tiger
10599285,name_type,Ave,tiger
10599285,reviewed,no,tiger
10599344,highway,residential,regular
10599344,name,Inland Lane,regular
10599344,cfcc,A41,tiger
10599344,county,"Stanislaus, CA",tiger
10599344,name_base,Inland,tiger
10599344,name_type,Ln,tiger
10599344,reviewed,no,tiger
10599352,highway,residential,regular
10599352,name,Midway Avenue,regular
10599352,cfcc,A41,tiger
10599352,county,"Stanislaus, CA",tiger
10599352,name_base,Midway,tiger
10599352,name_type,Ave,tiger
10599352,reviewed,no,tiger
10599367,highway,residential,regular
10599367,name,Ashoor Lane,regular
10599367,cfcc,A41,tiger
10599367,county,"Stanislaus, CA",tiger
10599367,name_base,Ashoor,tiger
10599367,name_type,Ln,tiger
10599367,reviewed,no,tiger
10599399,highway,residential,regular
10599399,name,Calcagno Street,regular
10599399,cfcc,A41,tiger
10599399,county,"Stanislaus, CA",tiger
10599399,name_base,Calcagno,tiger
10599399,name_type,St,tiger
10599399,reviewed,no,tiger
10599404,highway,residential,regular
10599404,name,Calcagno Street,regular
10599404,cfcc,A41,tiger
10599404,county,"Stanislaus, CA",tiger
10599404,name_base,Calcagno,tiger
10599404,name_type,St,tiger
10599404,reviewed,no,tiger
10599521,highway,residential,regular
10599521,name,Stone Springs Court,regular
10599521,cfcc,A41,tiger
10599521,county,"Stanislaus, CA",tiger
10599521,name_base,Stone Springs,tiger
10599521,name_type,Ct,tiger
10599521,reviewed,no,tiger
10599534,highway,residential,regular
10599534,name,Sebastian Way,regular
10599534,cfcc,A41,tiger
10599534,county,"Stanislaus, CA",tiger
10599534,name_base,Sebastian,tiger
10599534,name_type,Way,tiger
10599534,reviewed,no,tiger
10599573,highway,residential,regular
10599573,name,Darrah Street,regular
10599573,cfcc,A41,tiger
10599573,county,"Stanislaus, CA",tiger
10599573,name_base,Darrah,tiger
10599573,name_type,St,tiger
10599573,reviewed,no,tiger
10599577,highway,residential,regular
10599577,name,Azores Lane,regular
10599577,cfcc,A41,tiger
10599577,county,"Stanislaus, CA",tiger
10599577,name_base,Azores,tiger
10599577,name_type,Ln,tiger
10599577,reviewed,no,tiger
10599589,highway,residential,regular
10599589,name,Nimrood Drive,regular
10599589,cfcc,A41,tiger
10599589,county,"Stanislaus, CA",tiger
10599589,name_base,Nimrood,tiger
10599589,name_type,Dr,tiger
10599589,reviewed,no,tiger
10599603,highway,residential,regular
10599603,name,Chesapeake Avenue,regular
10599603,cfcc,A41,tiger
10599603,county,"Stanislaus, CA",tiger
10599603,name_base,Chesapeake,tiger
10599603,name_type,Ave,tiger
10599603,reviewed,no,tiger
10599611,highway,residential,regular
10599611,name,Bernardo Way,regular
10599611,cfcc,A41,tiger
10599611,county,"Stanislaus, CA",tiger
10599611,name_base,Bernardo,tiger
10599611,name_type,Way,tiger
10599611,reviewed,no,tiger
10599640,highway,residential,regular
10599640,name,Rhythms Drive,regular
10599640,cfcc,A41,tiger
10599640,county,"Stanislaus, CA",tiger
10599640,name_base,Rhythms,tiger
10599640,name_type,Dr,tiger
10599640,reviewed,no,tiger
10599661,highway,residential,regular
10599661,name,Bret Harte Place,regular
10599661,cfcc,A41,tiger
10599661,county,"Stanislaus, CA",tiger
10599661,name_base,Bret Harte,tiger
10599661,name_type,Pl,tiger
10599661,reviewed,no,tiger
10599696,highway,residential,regular
10599696,name,Don Pedro Road,regular
10599696,name_1,Don Pedro Avenue,regular
10599696,cfcc,A41,tiger
10599696,county,"Stanislaus, CA",tiger
10599696,name_base,Don Pedro,tiger
10599696,name_base_1,Don Pedro,tiger
10599696,name_type,Rd,tiger
10599696,name_type_1,Ave,tiger
10599696,reviewed,no,tiger
10599698,highway,residential,regular
10599698,name,Don Pedro Road,regular
10599698,cfcc,A41,tiger
10599698,county,"Stanislaus, CA",tiger
10599698,name_base,Don Pedro,tiger
10599698,name_type,Rd,tiger
10599698,reviewed,no,tiger
10599702,highway,residential,regular
10599702,name,Don Pedro Road,regular
10599702,cfcc,A41,tiger
10599702,county,"Stanislaus, CA",tiger
10599702,name_base,Don Pedro,tiger
10599702,name_type,Rd,tiger
10599702,reviewed,no,tiger
10599707,highway,residential,regular
10599707,name,Don Pedro Road,regular
10599707,cfcc,A41,tiger
10599707,county,"Stanislaus, CA",tiger
10599707,name_base,Don Pedro,tiger
10599707,name_type,Rd,tiger
10599707,reviewed,no,tiger
10599714,highway,residential,regular
10599714,name,Amanda Drive,regular
10599714,cfcc,A41,tiger
10599714,county,"Stanislaus, CA",tiger
10599714,name_base,Amanda,tiger
10599714,name_type,Dr,tiger
10599714,reviewed,no,tiger
10599779,highway,residential,regular
10599779,name,Redwood Road,regular
10599779,name_1,East Redwood Road,regular
10599779,cfcc,A41,tiger
10599779,county,"Stanislaus, CA",tiger
10599779,name_base,Redwood,tiger
10599779,name_base_1,Redwood,tiger
10599779,name_direction_prefix_1,E,tiger
10599779,name_type,Rd,tiger
10599779,name_type_1,Rd,tiger
10599779,reviewed,no,tiger
10599822,highway,residential,regular
10599822,name,Lodi Avenue,regular
10599822,cfcc,A41,tiger
10599822,county,"Stanislaus, CA",tiger
10599822,name_base,Lodi,tiger
10599822,name_type,Ave,tiger
10599822,reviewed,no,tiger
10599822,separated,no,tiger
10599822,source,tiger_import_dch_v0.6_20070809,tiger
10599822,tlid,102634615:102634616,tiger
10599858,highway,residential,regular
10599858,name,Moselle Court,regular
10599858,cfcc,A41,tiger
10599858,county,"Stanislaus, CA",tiger
10599858,name_base,Moselle,tiger
10599858,name_type,Ct,tiger
10599858,reviewed,no,tiger
10599906,highway,residential,regular
10599906,name,Dallas Court,regular
10599906,cfcc,A41,tiger
10599906,county,"Stanislaus, CA",tiger
10599906,name_base,Dallas,tiger
10599906,name_type,Ct,tiger
10599906,reviewed,no,tiger
10599926,highway,residential,regular
10599926,name,Crystal Avenue,regular
10599926,cfcc,A41,tiger
10599926,county,"Stanislaus, CA",tiger
10599926,name_base,Crystal,tiger
10599926,name_type,Ave,tiger
10599926,reviewed,no,tiger
10600090,highway,residential,regular
10600090,name,El Rosal Avenue,regular
10600090,cfcc,A41,tiger
10600090,county,"Stanislaus, CA",tiger
10600090,name_base,El Rosal,tiger
10600090,name_type,Ave,tiger
10600090,reviewed,no,tiger
10600202,highway,residential,regular
10600202,name,Grenache Court,regular
10600202,cfcc,A41,tiger
10600202,county,"Stanislaus, CA",tiger
10600202,name_base,Grenache,tiger
10600202,name_type,Ct,tiger
10600202,reviewed,no,tiger
10600203,highway,residential,regular
10600203,name,Tulsa Street,regular
10600203,cfcc,A41,tiger
10600203,county,"Stanislaus, CA",tiger
10600203,name_base,Tulsa,tiger
10600203,name_type,St,tiger
10600203,reviewed,no,tiger
10600205,highway,residential,regular
10600205,name,Cascade Avenue,regular
10600205,cfcc,A41,tiger
10600205,county,"Stanislaus, CA",tiger
10600205,name_base,Cascade,tiger
10600205,name_type,Ave,tiger
10600205,reviewed,no,tiger
10600222,highway,residential,regular
10600222,name,Heavenly Way,regular
10600222,cfcc,A41,tiger
10600222,county,"Stanislaus, CA",tiger
10600222,name_base,Heavenly,tiger
10600222,name_type,Way,tiger
10600222,reviewed,no,tiger
10600236,highway,residential,regular
10600236,name,Blue Moon Court,regular
10600236,cfcc,A41,tiger
10600236,county,"Stanislaus, CA",tiger
10600236,name_base,Blue Moon,tiger
10600236,name_type,Ct,tiger
10600236,reviewed,no,tiger
10600293,highway,residential,regular
10600293,name,Pink Avenue,regular
10600293,cfcc,A41,tiger
10600293,county,"Stanislaus, CA",tiger
10600293,name_base,Pink,tiger
10600293,name_type,Ave,tiger
10600293,reviewed,no,tiger
10600317,highway,residential,regular
10600317,name,Wallin Way,regular
10600317,cfcc,A41,tiger
10600317,county,"Stanislaus, CA",tiger
10600317,name_base,Wallin,tiger
10600317,name_type,Way,tiger
10600317,reviewed,no,tiger
10600319,highway,residential,regular
10600319,name,Belmont Avenue,regular
10600319,cfcc,A41,tiger
10600319,county,"Stanislaus, CA",tiger
10600319,name_base,Belmont,tiger
10600319,name_type,Ave,tiger
10600319,reviewed,no,tiger
10600332,highway,residential,regular
10600332,name,Mount McKinley Court,regular
10600332,name_1,Mount Mc Kinley Court,regular
10600332,cfcc,A41,tiger
10600332,county,"Stanislaus, CA",tiger
10600332,name_base,Mount McKinley,tiger
10600332,name_base_1,Mount Mc Kinley,tiger
10600332,name_type,Ct,tiger
10600332,name_type_1,Ct,tiger
10600332,reviewed,no,tiger
10600355,highway,residential,regular
10600355,name,Mount Oso Way,regular
10600355,cfcc,A41,tiger
10600355,county,"Stanislaus, CA",tiger
10600355,name_base,Mount Oso,tiger
10600355,name_type,Way,tiger
10600355,reviewed,no,tiger
10600371,highway,residential,regular
10600371,name,Santa Fe Avenue,regular
10600371,cfcc,A41,tiger
10600371,county,"Stanislaus, CA",tiger
10600371,name_base,Santa Fe,tiger
10600371,name_type,Ave,tiger
10600371,reviewed,no,tiger
10600409,highway,residential,regular
10600409,name,Flamingo Drive,regular
10600409,cfcc,A41,tiger
10600409,county,"Stanislaus, CA",tiger
10600409,name_base,Flamingo,tiger
10600409,name_type,Dr,tiger
10600409,reviewed,no,tiger
10600422,highway,residential,regular
10600422,name,Jewel Street,regular
10600422,cfcc,A41,tiger
10600422,county,"Stanislaus, CA",tiger
10600422,name_base,Jewel,tiger
10600422,name_type,St,tiger
10600422,reviewed,no,tiger
10600436,highway,residential,regular
10600436,name,East Hackett Road,regular
10600436,name_1,Hackett Road,regular
10600436,cfcc,A41,tiger
10600436,county,"Stanislaus, CA",tiger
10600436,name_base,Hackett,tiger
10600436,name_base_1,Hackett,tiger
10600436,name_direction_prefix,E,tiger
10600436,name_type,Rd,tiger
10600436,name_type_1,Rd,tiger
10600436,reviewed,no,tiger
10600437,highway,residential,regular
10600437,name,East Hackett Road,regular
10600437,name_1,Hackett Road,regular
10600437,cfcc,A41,tiger
10600437,county,"Stanislaus, CA",tiger
10600437,name_base,Hackett,tiger
10600437,name_base_1,Hackett,tiger
10600437,name_direction_prefix,E,tiger
10600437,name_type,Rd,tiger
10600437,name_type_1,Rd,tiger
10600437,reviewed,no,tiger
10600438,highway,residential,regular
10600438,name,East Hackett Road,regular
10600438,cfcc,A41,tiger
10600438,county,"Stanislaus, CA",tiger
10600438,name_base,Hackett,tiger
10600438,name_direction_prefix,E,tiger
10600438,name_type,Rd,tiger
10600438,reviewed,no,tiger
10600439,highway,residential,regular
10600439,name,East Hackett Road,regular
10600439,name_1,Hackett Road,regular
10600439,cfcc,A41,tiger
10600439,county,"Stanislaus, CA",tiger
10600439,name_base,Hackett,tiger
10600439,name_base_1,Hackett,tiger
10600439,name_direction_prefix,E,tiger
10600439,name_type,Rd,tiger
10600439,name_type_1,Rd,tiger
10600439,reviewed,no,tiger
10600441,highway,residential,regular
10600441,name,Farm Supply Drive,regular
10600441,cfcc,A41,tiger
10600441,county,"Stanislaus, CA",tiger
10600441,name_base,Farm Supply,tiger
10600441,name_type,Dr,tiger
10600441,reviewed,no,tiger
10600479,highway,residential,regular
10600479,name,Gutherie Street,regular
10600479,cfcc,A41,tiger
10600479,county,"Stanislaus, CA",tiger
10600479,name_base,Gutherie,tiger
10600479,name_type,St,tiger
10600479,reviewed,no,tiger
10600480,highway,residential,regular
10600480,name,Gutherie Street,regular
10600480,cfcc,A41,tiger
10600480,county,"Stanislaus, CA",tiger
10600480,name_base,Gutherie,tiger
10600480,name_type,St,tiger
10600480,reviewed,no,tiger
10600485,highway,residential,regular
10600485,name,Henry Avenue,regular
10600485,cfcc,A41,tiger
10600485,county,"Stanislaus, CA",tiger
10600485,name_base,Henry,tiger
10600485,name_type,Ave,tiger
10600485,reviewed,no,tiger
10600486,highway,residential,regular
10600486,name,Henry Avenue,regular
10600486,cfcc,A41,tiger
10600486,county,"Stanislaus, CA",tiger
10600486,name_base,Henry,tiger
10600486,name_type,Ave,tiger
10600486,reviewed,no,tiger
10600491,highway,residential,regular
10600491,name,Bria Drive,regular
10600491,cfcc,A41,tiger
10600491,county,"Stanislaus, CA",tiger
10600491,name_base,Bria,tiger
10600491,name_type,Dr,tiger
10600491,reviewed,no,tiger
10600491,separated,no,tiger
10600491,source,tiger_import_dch_v0.6_20070809,tiger
10600491,tlid,102643205:102643206,tiger
10600495,highway,residential,regular
10600495,name,Brown Avenue,regular
10600495,cfcc,A41,tiger
10600495,county,"Stanislaus, CA",tiger
10600495,name_base,Brown,tiger
10600495,name_type,Ave,tiger
10600495,reviewed,no,tiger
10600495,separated,no,tiger
10600495,source,tiger_import_dch_v0.6_20070809,tiger
10600495,tlid,102634947:102634951:102634952:102634955:102635444,tiger
10600508,highway,residential,regular
10600508,name,Havenwood Way,regular
10600508,cfcc,A41,tiger
10600508,county,"Stanislaus, CA",tiger
10600508,name_base,Havenwood,tiger
10600508,name_type,Way,tiger
10600508,reviewed,no,tiger
10600517,highway,residential,regular
10600517,name,Maura Court,regular
10600517,cfcc,A41,tiger
10600517,county,"Stanislaus, CA",tiger
10600517,name_base,Maura,tiger
10600517,name_type,Ct,tiger
10600517,reviewed,no,tiger
10600534,highway,residential,regular
10600534,name,Hugo Avenue,regular
10600534,cfcc,A41,tiger
10600534,county,"Stanislaus, CA",tiger
10600534,name_base,Hugo,tiger
10600534,name_type,Ave,tiger
10600534,reviewed,no,tiger
10600535,highway,residential,regular
10600535,name,Esteban Avenue,regular
10600535,cfcc,A41,tiger
10600535,county,"Stanislaus, CA",tiger
10600535,name_base,Esteban,tiger
10600535,name_type,Ave,tiger
10600535,reviewed,no,tiger
10600535,separated,no,tiger
10600535,source,tiger_import_dch_v0.6_20070809,tiger
10600535,tlid,102641974,tiger
10600554,highway,residential,regular
10600554,name,Park Faith Lane,regular
10600554,cfcc,A41,tiger
10600554,county,"Stanislaus, CA",tiger
10600554,name_base,Park Faith,tiger
10600554,name_type,Ln,tiger
10600554,reviewed,no,tiger
10600572,highway,residential,regular
10600572,name,Paramount Avenue,regular
10600572,cfcc,A41,tiger
10600572,county,"Stanislaus, CA",tiger
10600572,name_base,Paramount,tiger
10600572,name_type,Ave,tiger
10600572,reviewed,no,tiger
10600574,highway,residential,regular
10600574,name,Teek Court,regular
10600574,cfcc,A41,tiger
10600574,county,"Stanislaus, CA",tiger
10600574,name_base,Teek,tiger
10600574,name_type,Ct,tiger
10600574,reviewed,no,tiger
10600576,highway,residential,regular
10600576,name,Cornucopia Way,regular
10600576,cfcc,A41,tiger
10600576,county,"Stanislaus, CA",tiger
10600576,name_base,Cornucopia,tiger
10600576,name_type,Way,tiger
10600576,reviewed,no,tiger
10600618,highway,secondary,regular
10600618,lanes,4,regular
10600618,name,East Whitmore Avenue,regular
10600618,name_1,Whitmore Road,regular
10600618,name_2,Whitmore Avenue,regular
10600618,cfcc,A41,tiger
10600618,county,"Stanislaus, CA",tiger
10600618,name_base,Whitmore,tiger
10600618,name_base_1,Whitmore,tiger
10600618,name_base_2,Whitmore,tiger
10600618,name_direction_prefix,E,tiger
10600618,name_type,Ave,tiger
10600618,name_type_1,Rd,tiger
10600618,name_type_2,Ave,tiger
10600618,reviewed,no,tiger
10600619,cycleway,lane,regular
10600619,highway,secondary,regular
10600619,lanes,4,regular
10600619,name,East Whitmore Avenue,regular
10600619,name_1,Whitmore Avenue,regular
10600619,cfcc,A41,tiger
10600619,county,"Stanislaus, CA",tiger
10600619,name_base,Whitmore,tiger
10600619,name_base_1,Whitmore,tiger
10600619,name_direction_prefix,E,tiger
10600619,name_type,Ave,tiger
10600619,name_type_1,Ave,tiger
10600619,reviewed,no,tiger
10600620,highway,secondary,regular
10600620,name,East Whitmore Avenue,regular
10600620,cfcc,A41,tiger
10600620,county,"Stanislaus, CA",tiger
10600620,name_base,Whitmore,tiger
10600620,name_direction_prefix,E,tiger
10600620,name_type,Ave,tiger
10600620,reviewed,no,tiger
10600625,highway,residential,regular
10600625,name,Wishing Way,regular
10600625,cfcc,A41,tiger
10600625,county,"Stanislaus, CA",tiger
10600625,name_base,Wishing,tiger
10600625,name_type,Way,tiger
10600625,reviewed,no,tiger
10600663,highway,residential,regular
10600663,name,Inyo Avenue,regular
10600663,cfcc,A41,tiger
10600663,county,"Stanislaus, CA",tiger
10600663,name_base,Inyo,tiger
10600663,name_type,Ave,tiger
10600663,reviewed,no,tiger
10600668,highway,residential,regular
10600668,name,Modoc Avenue,regular
10600668,cfcc,A41,tiger
10600668,county,"Stanislaus, CA",tiger
10600668,name_base,Modoc,tiger
10600668,name_type,Ave,tiger
10600668,reviewed,no,tiger
10600668,separated,no,tiger
10600668,source,tiger_import_dch_v0.6_20070809,tiger
10600668,tlid,102641511,tiger
10600691,highway,residential,regular
10600691,name,Rickman Way,regular
10600691,cfcc,A41,tiger
10600691,county,"Stanislaus, CA",tiger
10600691,name_base,Rickman,tiger
10600691,name_type,Way,tiger
10600691,reviewed,no,tiger
10600691,separated,no,tiger
10600691,source,tiger_import_dch_v0.6_20070809,tiger
10600691,tlid,102625355,tiger
10600691,upload_uuid,bulk_upload.pl-25b768ae-0d11-4367-8a41-48e7b63fa9d2,tiger
10600702,highway,residential,regular
10600702,name,Algen Avenue,regular
10600702,cfcc,A41,tiger
10600702,county,"Stanislaus, CA",tiger
10600702,name_base,Algen,tiger
10600702,name_type,Ave,tiger
10600702,reviewed,no,tiger
10600762,highway,residential,regular
10600762,name,Alamo Avenue,regular
10600762,cfcc,A41,tiger
10600762,county,"Stanislaus, CA",tiger
10600762,name_base,Alamo,tiger
10600762,name_type,Ave,tiger
10600762,reviewed,no,tiger
10600790,highway,residential,regular
10600790,name,Chauncy Way,regular
10600790,cfcc,A41,tiger
10600790,county,"Stanislaus, CA",tiger
10600790,name_base,Chauncy,tiger
10600790,name_type,Way,tiger
10600790,reviewed,no,tiger
10600804,highway,residential,regular
10600804,name,Giddings Street,regular
10600804,cfcc,A41,tiger
10600804,county,"Stanislaus, CA",tiger
10600804,name_base,Giddings,tiger
10600804,name_type,St,tiger
10600804,reviewed,no,tiger
10600807,highway,residential,regular
10600807,name,Beringer Court,regular
10600807,cfcc,A41,tiger
10600807,county,"Stanislaus, CA",tiger
10600807,name_base,Beringer,tiger
10600807,name_type,Ct,tiger
10600807,reviewed,no,tiger
10600812,highway,residential,regular
10600812,name,Mauna Loa Drive,regular
10600812,cfcc,A41,tiger
10600812,county,"Stanislaus, CA",tiger
10600812,name_base,Mauna Loa,tiger
10600812,name_type,Dr,tiger
10600812,reviewed,no,tiger
10600819,highway,residential,regular
10600819,name,Herndon Court,regular
10600819,cfcc,A41,tiger
10600819,county,"Stanislaus, CA",tiger
10600819,name_base,Herndon,tiger
10600819,name_type,Ct,tiger
10600819,reviewed,no,tiger
10600828,highway,residential,regular
10600828,name,Vermouth Way,regular
10600828,cfcc,A41,tiger
10600828,county,"Stanislaus, CA",tiger
10600828,name_base,Vermouth,tiger
10600828,name_type,Way,tiger
10600828,reviewed,no,tiger
10600853,highway,residential,regular
10600853,name,Amador Avenue,regular
10600853,cfcc,A41,tiger
10600853,county,"Stanislaus, CA",tiger
10600853,name_base,Amador,tiger
10600853,name_type,Ave,tiger
10600853,reviewed,no,tiger
10600853,separated,no,tiger
10600853,source,tiger_import_dch_v0.6_20070809,tiger
10600853,tlid,102641385:102636007,tiger
10600854,highway,tertiary,regular
10600854,name,East Service Road,regular
10600854,name_1,Service Road,regular
10600854,cfcc,A41,tiger
10600854,county,"Stanislaus, CA",tiger
10600854,name_base,Service-Road,tiger
10600854,name_base_1,Service,tiger
10600854,name_direction_prefix,E,tiger
10600854,name_type_1,Rd,tiger
10600854,reviewed,no,tiger
10600896,highway,residential,regular
10600896,name,Val Lane,regular
10600896,cfcc,A41,tiger
